Person,Daya Tanggap (X1),Empati (X2),Kepuasan Pelanggan (Y)
1,36,45,1
2,34,39,0
3,30,38,0
4,32,38,1
5,36,45,1
6,33,42,0
7,36,45,1
8,36,45,1
9,31,36,0
10,31,37,0
11,36,45,1
12,33,41,0
13,32,40,0
14,33,39,0
15,34,42,1
16,34,42,0
17,32,39,0
18,34,42,1
19,33,40,0
20,34,43,0
21,32,39,0
22,36,44,1
23,33,37,0
24,30,38,0
25,36,43,1
26,33,41,0
27,32,39,0
28,30,36,0
29,30,36,0
30,36,42,1
31,33,38,0
32,33,38,0
33,35,41,1
34,35,41,1
35,34,40,1
36,30,38,0
37,30,40,1
38,35,41,1
39,34,42,1
40,33,40,0
41,34,43,0
42,30,38,0
43,34,42,1
44,30,41,1
45,34,40,0
46,34,42,1
47,34,38,0
48,34,44,1
49,35,43,0
50,34,42,1
