antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
PINK REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.029995684074233923,0.03727880880448856,0.024816573154941735,0.8273381294964028,22.19325552582536,1.0,0.023698369783378526,5.575760232340669,0.9844711515210137,0.5844980940279542,0.8206522593637054,0.7465200054139033
PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.029995684074233923,0.04224212343547691,0.02352179542511869,0.7841726618705036,18.563760485864183,1.0,0.02225471403592333,4.437611494748957,0.9753890663428273,0.48283499446290146,0.7746535492835945,0.6705026783171164
GREEN REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER,0.03727880880448856,0.04224212343547691,0.029186447993094517,0.7829232995658466,18.534184266606044,1.0,0.027611711950047767,4.4120712847072365,0.9826787354032904,0.5798499464094318,0.7733490835775662,0.7369278055939067
GARDENERS KNEELING PAD CUP OF TEA,GARDENERS KNEELING PAD KEEP CALM,0.034257660768234784,0.04078549848942598,0.024978420371169617,0.7291338582677166,17.877282006415864,1.0,0.02358120459965551,3.541286095693108,0.977551720447583,0.4989224137931035,0.7176167152334305,0.6707838603507895
ROSES REGENCY TEACUP AND SAUCER,GREEN REGENCY TEACUP AND SAUCER,0.04224212343547691,0.03727880880448856,0.029186447993094517,0.6909323116219668,18.534184266606044,1.0,0.027611711950047767,3.1149202177937414,0.9877711954752277,0.5798499464094318,0.6789644902339466,0.7369278055939067
DOLLY GIRL LUNCH BOX,SPACEBOY LUNCH BOX,0.03323262839879154,0.03798014674147605,0.022874406560207165,0.6883116883116883,18.12293388429752,1.0,0.021612226457016118,3.086480362537764,0.9772995283018867,0.4732142857142858,0.6760063624128227,0.6452922077922079
ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE RED,0.04256581786793267,0.047313336210617174,0.028593008200258955,0.6717363751584284,14.197611687499009,1.0,0.02657907734839356,2.902199914014761,0.9708924495343885,0.4665492957746478,0.6554337986260054,0.6380346642040717
RED HANGING HEART T-LIGHT HOLDER,WHITE HANGING HEART T-LIGHT HOLDER,0.03663141993957704,0.10633362106171775,0.024546827794561934,0.6701030927835051,6.301892911128894,1.0,0.0206516762677543,2.7089262111566677,0.8733080326181072,0.2072892938496583,0.6308500409197133,0.4504751892126556
GREEN REGENCY TEACUP AND SAUCER,PINK REGENCY TEACUP AND SAUCER,0.03727880880448856,0.029995684074233923,0.024816573154941735,0.6657018813314037,22.19325552582536,1.0,0.023698369783378526,2.901614642011707,0.9919188178396091,0.5844980940279542,0.6553642976840323,0.7465200054139033
PAPER CHAIN KIT VINTAGE CHRISTMAS,PAPER CHAIN KIT 50'S CHRISTMAS,0.03760250323694433,0.052870090634441085,0.024331031506258094,0.6470588235294118,12.238655462184875,1.0,0.022342983752038983,2.6835347432024172,0.9541708921719012,0.367862969004894,0.6273571629608782,0.5536314525810324
